timestamp,accel_X,accel_Y,accel_Z
1657205969317,-17,-186,-1010
1657205969357,20,-164,-996
1657205969397,85,-55,-748
1657205969437,-451,-368,-2048
1657205969477,-9,-332,-1091
1657205969517,-24,-353,-1192
1657205969557,-47,-202,-998
1657205969597,-95,-125,-911
1657205969637,-141,-74,-895
1657205969677,-270,-201,-1039
1657205969717,-228,-59,-894
1657205969757,-258,-233,-1010
1657205969797,-262,-164,-907
1657205969837,-198,-83,-862
1657205969877,-126,-228,-1031
1657205969917,-252,-97,-914
1657205969957,-164,-220,-1059
1657205969997,-216,-161,-1093
1657205970037,-256,-166,-1062
1657205970077,-176,-76,-1084
1657205970117,-136,-63,-980
1657205970157,-245,-124,-1016
1657205970197,-176,-116,-1082
1657205970237,-242,-105,-951
1657205970277,-255,-166,-1057
1657205970317,-292,-74,-968
1657205970357,-201,69,-989
1657205970397,-81,51,-742
1657205970437,-50,-97,-838
1657205970477,-221,-317,-1411
1657205970517,-198,-361,-1198
1657205970557,-208,-15,-705
1657205970597,-208,-153,-902
1657205970637,-81,-67,-1036
1657205970677,-79,16,-920
1657205970717,-64,-56,-1087
1657205970757,-151,11,-1001
1657205970797,-210,-47,-953
1657205970837,-318,-104,-1104
1657205970877,-440,-59,-921
1657205970917,-458,-193,-969
1657205970957,-378,-135,-978
1657205970997,-326,-86,-968
1657205971037,-290,-137,-957
1657205971077,-446,-127,-876
1657205971117,-646,-154,-676
1657205971157,-664,-79,-765
1657205971197,-401,-54,-828
1657205971237,-495,-149,-923
1657205971277,-278,-134,-939
1657205971317,-41,-329,-507
1657205971357,-313,-465,-1064
1657205971397,-305,-681,-1153
1657205971437,-165,-354,-1523
1657205971477,-52,-398,-715
1657205971517,-14,-163,-694
1657205971557,-66,-167,-803
1657205971597,-315,-235,-850
1657205971637,-491,-397,-932
1657205971677,-421,-447,-812
1657205971717,-420,-372,-1077
1657205971757,-377,-336,-740
1657205971797,-377,-414,-574
1657205971837,-434,-451,-682
1657205971877,-516,-441,-610
1657205971917,-406,-463,-533
1657205971957,-245,-469,-408
1657205971997,-320,-822,-693
1657205972037,-281,-759,-390
1657205972077,-747,-1363,-561
1657205972117,-553,-1086,-380
1657205972157,-613,-1028,-173
1657205972197,-414,-866,-86
1657205972237,-327,-721,-63
1657205972277,-286,-617,127
1657205972317,-182,-682,247
1657205972357,-258,-1087,245
1657205972397,-190,-1231,228
1657205972437,-270,-1416,265
1657205972477,-467,-1680,139
1657205972517,-535,-1434,220
1657205972557,-301,-1039,440
1657205972597,-178,-749,391
1657205972637,-161,-655,298
1657205972677,-309,-688,271
1657205972717,-452,-885,295
1657205972757,-507,-932,273
1657205972797,-517,-982,320
1657205972837,-443,-976,294
1657205972877,-387,-937,318
1657205972917,-368,-860,322
1657205972957,-324,-789,352
1657205972997,-288,-796,263
1657205973037,-279,-795,205
1657205973077,-236,-814,224
1657205973117,-228,-841,238
1657205973157,-201,-924,257
1657205973197,-176,-1016,340
1657205973237,-258,-1074,412
1657205973277,-428,-1075,440
1657205973317,-454,-1057,417
1657205973357,-324,-1074,325
1657205973397,-294,-1088,237
1657205973437,-273,-1068,208
1657205973477,-257,-983,240
1657205973517,-205,-942,307
1657205973557,-200,-929,318
1657205973597,-161,-917,322
1657205973637,-182,-922,304
1657205973677,-146,-968,266
1657205973717,-112,-1015,191
1657205973757,-10,-1100,-73
1657205973797,-112,-1017,153
1657205973837,-203,-940,362
1657205973877,-164,-951,280
1657205973917,-200,-950,255
1657205973957,-276,-1014,225
1657205973997,-345,-1066,218
1657205974037,-297,-1019,253
1657205974077,-279,-985,231
1657205974117,-263,-972,198
1657205974157,-219,-940,226
1657205974197,-183,-929,261
1657205974237,-195,-935,262
1657205974277,-205,-979,232
1657205974317,-375,-1165,132
1657205974357,-690,-1428,-28
1657205974397,-775,-1725,-309
1657205974437,-559,-1792,-577
1657205974477,-490,-1475,-521
1657205974517,-374,-836,-585
1657205974557,-44,-209,-289
1657205974597,-166,-113,-543
1657205974637,-278,60,-22
1657205974677,-193,114,-420
1657205974717,-346,67,-362
1657205974757,-558,-15,-681
1657205974797,-509,93,-917
1657205974837,-381,155,-1024
1657205974877,-473,305,-800
1657205974917,-298,266,-927
1657205974957,-238,297,-817
1657205974997,-251,275,-1021
1657205975037,-292,259,-768
1657205975077,-319,150,-1220
1657205975117,-314,148,-1785
1657205975157,51,134,-1004
1657205975197,-359,88,-717
1657205975237,-423,191,-760
1657205975277,-258,155,-644
1657205975317,-384,143,-557
1657205975357,-658,56,-602
1657205975397,-596,-99,-915
1657205975437,-783,-231,-775
1657205975477,-884,-292,-1345
1657205975517,-655,-382,-1182
1657205975557,-788,-324,-1149
1657205975597,-854,-284,-978
1657205975637,-878,-322,-873
1657205975677,-966,-357,-868
1657205975717,-1118,-270,-833
1657205975757,-1155,-252,-873
1657205975797,-1078,-63,-778
1657205975837,-1028,-69,-734
1657205975877,-710,14,-696
1657205975917,-461,263,-642
1657205975957,-255,370,-425
1657205975997,-325,596,-453
1657205976037,-313,541,-289
1657205976077,-218,732,-152
1657205976117,-149,719,-325
1657205976157,-200,649,-294
1657205976197,-383,650,-375
1657205976237,-198,650,-737
1657205976277,-366,531,-318
1657205976317,-448,840,-532
1657205976357,-502,780,-470
