timestamp,accel_X,accel_Y,accel_Z
1657206335397,-464,116,928
1657206335437,-454,116,893
1657206335477,-465,126,904
1657206335517,-452,124,903
1657206335557,-457,137,944
1657206335597,-468,126,923
1657206335637,-469,122,905
1657206335677,-467,116,899
1657206335717,-464,120,915
1657206335757,-459,139,932
1657206335797,-444,133,911
1657206335837,-459,130,909
1657206335877,-462,123,917
1657206335917,-457,120,911
1657206335957,-457,115,902
1657206335997,-454,126,908
1657206336037,-461,125,920
1657206336077,-468,124,915
1657206336117,-457,131,909
1657206336157,-446,148,923
1657206336197,-461,132,913
1657206336237,-483,129,930
1657206336277,-454,128,907
1657206336317,-456,118,910
1657206336357,-447,125,921
1657206336397,-442,123,896
1657206336437,-436,114,894
1657206336477,-481,125,937
1657206336517,-457,109,892
1657206336557,-453,121,900
1657206336597,-468,120,924
1657206336637,-476,118,940
1657206336677,-485,100,930
1657206336717,-486,93,926
1657206336757,-447,91,911
1657206336797,-428,101,910
1657206336837,-435,96,931
1657206336877,-459,86,930
1657206336917,-487,66,910
1657206336957,-498,59,917
1657206336997,-494,50,922
1657206337037,-478,57,939
1657206337077,-446,54,901
1657206337117,-436,66,894
1657206337157,-421,94,890
1657206337197,-417,124,914
1657206337237,-443,130,940
1657206337277,-480,122,968
1657206337317,-494,100,949
1657206337357,-490,89,913
1657206337397,-461,84,891
1657206337437,-442,100,924
1657206337477,-436,91,918
1657206337517,-439,79,914
1657206337557,-459,80,936
1657206337597,-470,73,945
1657206337637,-461,69,908
1657206337677,-464,72,879
1657206337717,-457,74,887
1657206337757,-455,96,928
1657206337797,-446,107,936
1657206337837,-448,103,934
1657206337877,-445,94,896
1657206337917,-456,100,904
1657206337957,-467,100,929
1657206337997,-479,106,937
1657206338037,-473,89,913
1657206338077,-458,90,922
1657206338117,-444,91,903
1657206338157,-436,109,933
1657206338197,-446,108,935
1657206338237,-463,121,930
1657206338277,-549,73,973
1657206338317,-764,78,1026
1657206338357,-937,56,976
1657206338397,-1196,175,802
1657206338437,-1225,74,516
1657206338477,-902,-207,-24
1657206338517,-545,-328,-370
1657206338557,-565,-393,-474
1657206338597,-521,-436,-482
1657206338637,-449,-395,-496
1657206338677,-143,-640,-646
1657206338717,-43,-740,-869
1657206338757,-97,-624,-701
1657206338797,106,-598,-794
1657206338837,11,-631,-763
1657206338877,12,-604,-793
1657206338917,-183,-621,-717
1657206338957,-534,-873,-733
1657206338997,-750,-699,-861
1657206339037,-378,-426,-870
1657206339077,-331,-333,-643
1657206339117,-372,-195,-511
1657206339157,-436,-79,-354
1657206339197,-695,-199,-382
1657206339237,-797,-414,-519
1657206339277,-1071,-582,-401
1657206339317,-1005,-425,-256
1657206339357,-1107,-604,-213
1657206339397,-1068,-690,-326
1657206339437,-937,-736,-404
1657206339477,-848,-689,-426
1657206339517,-812,-636,-375
1657206339557,-786,-580,-349
1657206339597,-746,-509,-317
1657206339637,-769,-466,-302
1657206339677,-814,-481,-315
1657206339717,-649,-643,-472
1657206339757,-923,-542,-316
1657206339797,-818,-424,-258
1657206339837,-911,-520,-151
1657206339877,-974,-466,9
1657206339917,-932,-384,130
1657206339957,-943,-306,241
1657206339997,-932,-252,306
1657206340037,-866,-286,275
1657206340077,-915,-352,349
1657206340117,-937,-325,402
1657206340157,-959,-254,406
1657206340197,-963,-368,500
1657206340237,-886,-301,441
1657206340277,-865,-336,379
1657206340317,-874,-351,430
1657206340357,-865,-304,438
1657206340397,-895,-335,407
1657206340437,-890,-336,412
1657206340477,-892,-337,407
1657206340517,-866,-333,394
1657206340557,-855,-295,423
1657206340597,-871,-320,430
1657206340637,-849,-310,434
1657206340677,-899,-349,420
1657206340717,-939,-371,402
1657206340757,-928,-373,374
1657206340797,-905,-378,352
1657206340837,-895,-362,382
1657206340877,-857,-340,353
1657206340917,-852,-322,375
1657206340957,-861,-333,393
1657206340997,-876,-343,409
1657206341037,-868,-347,399
1657206341077,-841,-281,358
1657206341117,-832,-403,398
1657206341157,-979,-534,404
1657206341197,-939,-472,349
1657206341237,-933,-563,347
1657206341277,-913,-569,276
1657206341317,-799,-475,283
1657206341357,-845,-496,257
1657206341397,-861,-490,256
1657206341437,-888,-502,205
1657206341477,-937,-483,239
1657206341517,-908,-445,175
1657206341557,-936,-415,170
1657206341597,-936,-429,133
1657206341637,-961,-448,88
1657206341677,-937,-441,58
1657206341717,-893,-377,66
1657206341757,-931,-423,40
1657206341797,-885,-330,55
1657206341837,-880,-310,68
1657206341877,-860,-418,21
1657206341917,-841,-442,72
1657206341957,-634,-405,117
1657206341997,-365,-472,90
1657206342037,-250,-615,2
1657206342077,-183,-711,75
1657206342117,-50,-781,141
1657206342157,-132,-1044,276
1657206342197,-193,-1134,521
1657206342237,-178,-1315,832
1657206342277,-454,-1574,1118
1657206342317,-711,-1504,1071
1657206342357,-714,-1236,1065
1657206342397,-713,-1051,893
1657206342437,-493,-1004,572
1657206342477,-428,-961,347
1657206342517,-413,-924,322
1657206342557,-356,-1006,396
1657206342597,-343,-1121,459
1657206342637,-398,-1094,599
1657206342677,-416,-1113,798
1657206342717,-240,-1110,965
1657206342757,-398,-867,1179
1657206342797,-357,-968,1183
1657206342837,-151,-1126,825
1657206342877,-154,-1149,659
1657206342917,-267,-996,464
1657206342957,-375,-794,406
1657206342997,-382,-623,274
1657206343037,-240,-442,130
1657206343077,-306,-346,46
1657206343117,-269,-340,-11
1657206343157,-242,-374,-39
1657206343197,-350,-538,33
1657206343237,-490,-666,125
1657206343277,-307,-654,204
1657206343317,-212,-819,293
1657206343357,-355,-1086,382
1657206343397,-224,-1196,472
1657206343437,-156,-1521,690
1657206343477,-578,-1799,793
1657206343517,-833,-1605,887
1657206343557,-614,-1247,830
1657206343597,-268,-984,500
1657206343637,-154,-920,242
1657206343677,-46,-879,208
1657206343717,-15,-883,211
1657206343757,-78,-872,268
1657206343797,-216,-833,391
1657206343837,-366,-905,377
1657206343877,-322,-889,374
1657206343917,-260,-889,311
1657206343957,-277,-925,267
1657206343997,-234,-895,262
1657206344037,-205,-857,320
1657206344077,-277,-919,318
1657206344117,-340,-929,380
1657206344157,-371,-938,390
1657206344197,-488,-963,396
1657206344237,-449,-971,387
1657206344277,-514,-979,410
1657206344317,-683,-1019,446
1657206344357,-717,-953,522
1657206344397,-806,-981,568
1657206344437,-786,-979,565
1657206344477,-876,-1051,485
1657206344517,-817,-775,453
1657206344557,-819,-890,239
1657206344597,-528,-638,-70
1657206344637,-331,-159,-15
1657206344677,-528,-293,-213
1657206344717,-361,-244,-221
1657206344757,-634,-249,-183
1657206344797,-704,-311,-298
1657206344837,-676,-264,-390
1657206344877,-844,-504,-522
1657206344917,-802,-442,-575
1657206344957,-744,-455,-615
1657206344997,-801,-395,-539
1657206345037,-677,-471,-604
1657206345077,-719,-405,-568
1657206345117,-696,-391,-558
1657206345157,-770,-598,-610
1657206345197,-754,-579,-533
1657206345237,-786,-440,-507
1657206345277,-695,-537,-565
1657206345317,-701,-416,-604
1657206345357,-718,-504,-547
1657206345397,-687,-485,-628
1657206345437,-645,-464,-585
1657206345477,-726,-445,-594
1657206345517,-677,-588,-599
1657206345557,-699,-470,-555
1657206345597,-701,-482,-560
1657206345637,-594,-371,-582
1657206345677,-731,-622,-780
1657206345717,-633,-575,-557
1657206345757,-823,-828,-633
1657206345797,-693,-397,-363
1657206345837,-761,-569,-394
1657206345877,-667,-319,-364
1657206345917,-594,-182,-320
1657206345957,-630,-425,-531
1657206345997,-826,-494,-564
1657206346037,-990,-535,-473
1657206346077,-853,-555,-403
1657206346117,-693,-510,-382
1657206346157,-667,-481,-314
1657206346197,-637,-471,-236
1657206346237,-664,-568,-156
1657206346277,-493,-572,14
1657206346317,-433,-747,190
1657206346357,-719,-1056,78
1657206346397,-556,-922,56
1657206346437,-406,-878,220
1657206346477,-296,-908,238
1657206346517,-312,-938,229
1657206346557,-166,-996,288
1657206346597,-149,-1017,365
1657206346637,-137,-1127,471
1657206346677,-158,-1154,510
1657206346717,-179,-1241,560
1657206346757,-127,-1366,596
1657206346797,-188,-1218,621
1657206346837,-310,-1055,537
1657206346877,-325,-953,386
1657206346917,-188,-953,334
1657206346957,-12,-976,348
1657206346997,62,-960,360
1657206347037,24,-886,354
1657206347077,20,-843,302
1657206347117,50,-799,288
1657206347157,90,-781,286
1657206347197,6,-813,295
1657206347237,-46,-859,310
1657206347277,-75,-881,307
1657206347317,-95,-951,307
1657206347357,-108,-1008,320
1657206347397,-132,-1015,363
1657206347437,-105,-1017,417
1657206347477,-17,-1221,470
1657206347517,-159,-1271,461
1657206347557,-409,-1097,476
1657206347597,-405,-923,422
1657206347637,-185,-891,398
1657206347677,-31,-881,383
1657206347717,-59,-945,424
1657206347757,-90,-893,548
1657206347797,-69,-883,625
1657206347837,-38,-867,608
1657206347877,-27,-918,541
1657206347917,-119,-922,525
1657206347957,-93,-855,491
1657206347997,-89,-854,443
1657206348037,-119,-849,366
1657206348077,-104,-857,377
1657206348117,-83,-887,347
1657206348157,-65,-977,330
1657206348197,41,-1189,384
1657206348237,84,-1212,406
1657206348277,-122,-983,483
1657206348317,-68,-892,453
1657206348357,52,-878,347
1657206348397,19,-839,398
1657206348437,-42,-814,442
1657206348477,-67,-816,433
1657206348517,-95,-811,416
1657206348557,-94,-823,409
1657206348597,-143,-895,394
1657206348637,-176,-980,388
1657206348677,-181,-1039,402
1657206348717,-154,-1042,418
1657206348757,-26,-1028,461
1657206348797,60,-1109,548
1657206348837,-58,-1056,587
1657206348877,-293,-1039,592
1657206348917,-303,-1108,496
1657206348957,-202,-994,639
1657206348997,31,-863,389
1657206349037,75,-796,536
1657206349077,151,-740,513
1657206349117,14,-734,585
1657206349157,-15,-780,506
1657206349197,-55,-827,422
1657206349237,-78,-963,421
1657206349277,-120,-997,422
1657206349317,-109,-963,471
1657206349357,6,-910,474
1657206349397,-15,-900,466
1657206349437,78,-1065,413
1657206349477,132,-1083,392
1657206349517,-62,-899,569
1657206349557,-41,-828,615
1657206349597,14,-885,475
1657206349637,-49,-856,479
1657206349677,-61,-825,486
1657206349717,-38,-839,449
1657206349757,-66,-892,393
1657206349797,-61,-934,352
1657206349837,-65,-991,357
1657206349877,-124,-974,345
1657206349917,-18,-1027,323
1657206349957,5,-1026,372
1657206349997,17,-1058,481
1657206350037,44,-1149,519
1657206350077,-143,-1109,529
1657206350117,-205,-1004,500
1657206350157,-107,-924,420
1657206350197,4,-982,420
1657206350237,24,-922,489
1657206350277,-9,-849,558
1657206350317,15,-801,509
1657206350357,55,-834,475
1657206350397,-13,-828,426
1657206350437,94,-857,453
1657206350477,135,-955,438
1657206350517,-23,-1026,493
1657206350557,-17,-971,518
1657206350597,68,-997,454
1657206350637,144,-1225,400
1657206350677,30,-1007,364
1657206350717,-25,-876,416
1657206350757,37,-930,342
1657206350797,-2,-960,392
1657206350837,-98,-856,379
1657206350877,-130,-869,349
1657206350917,-152,-869,297
1657206350957,-138,-876,309
1657206350997,-87,-904,322
1657206351037,-45,-955,363
1657206351077,-73,-991,386
1657206351117,-91,-1015,338
1657206351157,-37,-1081,332
1657206351197,-70,-1113,361
1657206351237,-104,-1153,414
1657206351277,-250,-1147,440
1657206351317,-359,-1155,440
1657206351357,-190,-1090,459
1657206351397,22,-1074,515
1657206351437,37,-913,503
1657206351477,-30,-782,523
1657206351517,31,-787,535
1657206351557,-7,-814,489
1657206351597,-38,-869,525
1657206351637,16,-851,474
1657206351677,53,-861,509
1657206351717,67,-889,462
1657206351757,105,-958,426
1657206351797,244,-1186,318
1657206351837,309,-1165,245
1657206351877,-49,-1007,456
1657206351917,-41,-1087,453
1657206351957,-15,-1090,314
1657206351997,-102,-881,375
1657206352037,-164,-760,288
1657206352077,-148,-786,248
1657206352117,-79,-852,274
1657206352157,-86,-863,339
1657206352197,-119,-920,420
1657206352237,-139,-978,443
1657206352277,-121,-1046,470
1657206352317,-130,-1123,450
1657206352357,-157,-1168,414
1657206352397,-180,-1291,363
1657206352437,-430,-1254,301
1657206352477,-547,-1117,286
1657206352517,-376,-1103,303
1657206352557,-138,-1070,404
1657206352597,-80,-1085,527
1657206352637,-149,-956,598
1657206352677,-41,-901,618
1657206352717,17,-861,580
1657206352757,26,-856,572
1657206352797,45,-896,561
1657206352837,112,-966,585
1657206352877,169,-1028,587
1657206352917,211,-1040,495
1657206352957,63,-1186,254
1657206352997,48,-968,231
1657206353037,204,-941,259
1657206353077,61,-926,253
1657206353117,-167,-854,136
1657206353157,-188,-793,66
1657206353197,-210,-796,99
1657206353237,-183,-872,209
1657206353277,-187,-985,368
1657206353317,-259,-1030,491
1657206353357,-351,-1055,532
1657206353397,-250,-1085,507
1657206353437,-246,-1168,481
1657206353477,-220,-1398,431
1657206353517,-436,-1394,341
1657206353557,-649,-1176,334
1657206353597,-479,-1003,343
1657206353637,-344,-1069,456
1657206353677,-437,-1099,729
1657206353717,-591,-1249,1106
