timestamp,accel_X,accel_Y,accel_Z
1657302361815,-816,490,-371
1657302361855,-831,516,-378
1657302361895,-816,502,-371
1657302361935,-809,513,-377
1657302361975,-800,509,-382
1657302362015,-818,532,-402
1657302362055,-797,560,-432
1657302362095,-763,505,-397
1657302362135,-783,445,-353
1657302362175,-845,477,-353
1657302362215,-867,502,-373
1657302362255,-863,506,-379
1657302362295,-840,453,-364
1657302362335,-883,482,-385
1657302362375,-843,468,-403
1657302362415,-822,435,-374
1657302362455,-778,405,-360
1657302362495,-795,447,-374
1657302362535,-705,414,-377
1657302362575,-676,381,-363
1657302362615,-927,677,-311
1657302362655,-815,696,-501
1657302362695,-548,570,-591
1657302362735,-535,624,-658
1657302362775,-661,677,-635
1657302362815,-718,207,-952
1657302362855,-617,312,-688
1657302362895,-187,227,-798
1657302362935,-500,478,-998
1657302362975,-426,374,-886
1657302363015,-315,438,-1002
1657302363055,-290,442,-840
1657302363095,-238,502,-968
1657302363135,-231,373,-809
1657302363175,-140,408,-828
1657302363215,-155,554,-1010
1657302363255,-74,458,-923
1657302363295,-115,468,-1042
1657302363335,-54,413,-975
1657302363375,-102,400,-937
1657302363415,-159,395,-975
1657302363455,-142,383,-951
1657302363495,-74,444,-1040
1657302363535,58,390,-909
1657302363575,123,345,-921
1657302363615,58,400,-881
1657302363655,67,470,-956
1657302363695,69,431,-938
1657302363735,15,408,-917
1657302363775,-10,402,-955
1657302363815,-167,391,-917
1657302363855,-195,375,-901
1657302363895,-259,381,-904
1657302363935,-263,421,-937
1657302363975,-321,447,-913
1657302364015,-335,459,-915
1657302364055,-306,422,-879
1657302364095,-238,396,-910
1657302364135,-228,431,-942
1657302364175,-232,456,-972
1657302364215,-239,433,-940
1657302364255,-259,420,-905
1657302364295,-263,401,-896
1657302364335,-299,386,-890
1657302364375,-337,368,-864
1657302364415,-382,355,-859
1657302364455,-412,344,-881
1657302364495,-435,349,-868
1657302364535,-429,346,-881
1657302364575,-453,346,-873
1657302364615,-483,339,-853
1657302364655,-476,306,-815
1657302364695,-458,318,-820
1657302364735,-488,320,-820
1657302364775,-501,341,-822
1657302364815,-486,371,-868
1657302364855,-473,357,-844
1657302364895,-488,378,-852
1657302364935,-498,392,-878
1657302364975,-497,373,-828
1657302365015,-490,377,-830
1657302365055,-494,387,-826
1657302365095,-500,380,-810
1657302365135,-507,389,-823
1657302365175,-486,386,-804
1657302365215,-500,386,-801
1657302365255,-492,364,-789
1657302365295,-501,369,-798
1657302365335,-524,359,-781
1657302365375,-561,368,-799
1657302365415,-555,382,-816
1657302365455,-541,398,-836
1657302365495,-532,390,-822
1657302365535,-521,398,-812
1657302365575,-526,397,-814
1657302365615,-502,387,-793
1657302365655,-525,413,-827
1657302365695,-508,375,-769
1657302365735,-508,362,-743
1657302365775,-538,401,-793
1657302365815,-531,381,-782
1657302365855,-549,384,-772
1657302365895,-551,388,-781
1657302365935,-559,389,-792
1657302365975,-563,398,-789
1657302366015,-572,421,-806
1657302366055,-549,412,-800
1657302366095,-548,412,-796
1657302366135,-537,413,-775
1657302366175,-540,421,-763
1657302366215,-547,424,-759
1657302366255,-530,410,-749
1657302366295,-529,424,-759
1657302366335,-527,433,-785
1657302366375,-526,443,-799
1657302366415,-492,421,-787
1657302366455,-513,412,-773
1657302366495,-548,424,-760
1657302366535,-569,414,-752
1657302366575,-563,402,-747
1657302366615,-579,395,-763
1657302366655,-591,411,-749
1657302366695,-596,424,-754
1657302366735,-583,423,-767
1657302366775,-563,411,-742
1657302366815,-564,414,-752
1657302366855,-551,415,-760
1657302366895,-563,407,-744
1657302366935,-567,414,-750
